restaurant_name,cuisines,avg_cost_for_two,has_table_booking,has_online_delivery,price_range,rating,votes
Dabba Meat,North Indian,550,False,True,2,3.4,29
Deepak Rasoi,Multicuisine,450,False,False,1,2.7,22
Foodaucity - Bum Bum Bholey Ke Chole Bhature,Street Food,300,False,False,1,3.3,14
Foodies Nation,Multicuisine,300,False,False,1,3.4,19
Goli Vada Pav No. 1,Street Food,150,False,True,1,3.1,83
Grandma's Kitchen,Multicuisine,400,False,True,1,2.5,20
Gurgaon Hights,North Indian,400,False,True,1,2.5,19
Idliss,Multicuisine,400,False,True,1,3.4,359
Indian Home Food,Multicuisine,600,False,True,2,2.6,51
Jetha Lal Ka Dhabha,Multicuisine,400,False,True,1,3.1,53
Kusum Rolls,Fast Food,350,False,True,1,3.1,71
Megha Vaishno Dhaba,North Indian,300,False,False,1,3.1,33
Nikhil Food Point,Multicuisine,200,False,False,1,2.7,19
Plan B,Multicuisine,1000,True,False,3,3.4,132
Punjabi Zaika,Multicuisine,500,False,True,2,3.2,74
Rasoi,Multicuisine,500,False,False,2,3.0,6
Roll's Royce,Fast Food,200,False,True,1,3.2,42
Shree Bikaner Misthan Bhandar,Multicuisine,100,False,True,1,3.1,29
Smokey Pan,Multicuisine,300,False,False,1,3.2,14
Surprise O Meal,Multicuisine,550,False,True,2,3.4,35
Tandoor on The Way,Fast Food,300,False,True,1,3.2,45
Tawa N Tandoor,Multicuisine,600,False,True,2,2.7,51
The Paradise Biryani,Multicuisine,700,False,True,2,2.9,22
The Royal,Fast Food,550,False,False,2,3.3,15
Theka Desi Khaana,Multicuisine,350,False,True,1,3.0,12
Tobasco Kitchen,Fast Food,500,False,True,2,3.2,38
Tpot,Fast Food,400,False,False,1,3.2,15
Uncle's Cafe,Fast Food,350,False,False,1,2.7,23
Welcome Cafeteria,North Indian,600,False,True,2,3.3,23
Yo Yo China Town,Multicuisine,400,False,True,1,2.8,31
Caterspoint,Multicuisine,500,False,True,2,4.9,223
Bake-a-boo,Cafe,200,False,True,1,3.7,55
Burger Hut,Fast Food,300,False,True,1,3.6,319
China Gatherings,Multicuisine,550,False,True,2,3.5,46
Crazy Bhukkhad,Multicuisine,400,False,True,1,3.9,54
Deez Biryani & Kebabs,Multicuisine,800,False,True,2,3.7,371
Fomads,Multicuisine,300,False,False,1,3.6,26
Happy Beings,Multicuisine,500,False,True,2,3.5,66
InstaDozza,South Indian,250,False,True,1,3.5,28
Mom's Kitchen,North Indian,300,False,True,1,3.5,27
The Baker's Bar  ... Bakery & Cafe,Fast Food,400,False,False,1,3.6,29
Veg Ex,North Indian,500,False,True,2,3.8,45
Volt - By Plan B,Multicuisine,1000,True,False,3,3.5,19
ZASTY,Multicuisine,500,False,True,2,3.5,52
Aahar,Multicuisine,400,False,True,1,2.0,60
Chicken Bytes,Multicuisine,500,False,True,2,2.1,34
Flying Cakes,Cafe,350,False,True,1,2.2,136
Punjabi Tadka,North Indian,500,False,False,2,2.2,43
Coldpress Company,Multicuisine,500,False,True,2,4.0,34
Crudo Juicery,Multicuisine,400,False,True,1,4.3,33
First Eat,Multicuisine,300,False,False,1,4.0,162
Zoe,Multicuisine,700,False,True,2,4.3,217
Dabba Meat,North Indian,550,False,True,2,3.1,195
Kashmiri Kitchen,North Indian,1000,True,True,3,3.4,210
Rumi's Kitchen,Multicuisine,500,False,True,2,3.4,165
Baking Bad,Italian,1000,False,True,3,3.7,98
Bamboo Boat,Multicuisine,700,False,True,2,3.8,115
Big Jack's,Multicuisine,800,False,True,2,3.5,129
Kebab Gali,Multicuisine,600,False,True,2,3.9,164
Lucknow Mail,Multicuisine,800,False,True,2,3.8,86
Monster's Cafe,Multicuisine,1200,False,True,3,3.5,269
Monty's Chicken Wings,Fast Food,600,False,True,2,3.9,124
My Country Platter,Multicuisine,600,False,True,2,3.8,61
SARA World Cuisine,Fast Food,500,False,True,2,3.9,90
Wah! Amritsar,North Indian,750,False,True,2,3.6,213
World In A Box,Multicuisine,750,False,True,2,3.6,461
Bun Intended,Fast Food,850,False,True,2,4.2,93
Cafe Gatherings,Multicuisine,750,False,True,2,4.4,161
Cafe Soul Garden,Multicuisine,1300,True,True,3,4.1,255
Food O Gram,North Indian,600,False,True,2,4.0,88
Happy Hakka,Multicuisine,650,False,True,2,4.1,134
Kaiser,North Indian,650,False,True,2,4.1,152
Pizza Central,Fast Food,600,False,True,2,4.1,151
Tasty Fare,Fast Food,600,False,True,2,3.4,42
Burger Point,Fast Food,300,False,True,1,3.6,39
Drifters Cafe,Multicuisine,400,False,True,1,3.9,40
Oh! Fudge,Cafe,300,False,True,1,3.8,93
Anjlika,Fast Food,400,False,False,1,3.1,7
IZU,Asian,1100,True,True,3,3.4,129
Sugar & Spice - Le Marche,Fast Food,800,False,False,2,2.9,107
Bizibean,Cafe,550,False,False,2,3.6,59
ChandChini,Multicuisine,800,True,False,2,3.8,40
Coffee & Chai Co.,Multicuisine,1100,True,True,3,3.6,296
Greek Food & Beyond,Mediterranean,1200,True,False,3,3.6,27
Mediumwelldone,Multicuisine,1800,True,True,3,3.5,259
Sonya Bakery Cafe,Multicuisine,350,False,False,1,3.5,34
Soul & Spice Co.,Multicuisine,1000,True,True,3,3.8,120
7 Degrees Brauhaus,Multicuisine,3200,True,False,4,4.2,1193
Cafe Amaretto,Multicuisine,1400,True,True,3,4.1,147
Sibang Bakery,Multicuisine,500,False,True,2,4.1,227
The Hangout by 1861,Multicuisine,1600,True,True,3,4.0,192
The Mad Teapot/The Wishing Chair,Multicuisine,1000,True,False,3,4.4,83
Ninkasi Imperial Brews & Cookery,Multicuisine,3000,True,False,4,4.2,77
Zaffran,North Indian,1600,False,True,3,4.1,229
Spiritual Bar & Lounge-DoubleTree by Hilton,Italian,2000,True,False,4,3.4,52
The Food Store - DoubleTree by Hilton,Multicuisine,3000,True,False,4,3.6,58
Barista,Cafe,650,False,True,2,3.3,25
Burger King,Fast Food,500,False,True,2,3.4,452
